state_name,district_name,cattle,buffalo,bovines_total,species_richness,avg_herd_per_record,bov_norm,herd_norm,rich_norm,priority_score,rank,cluster,segment
Madhya Pradesh,SAGAR,744975,236093,981068,10,981068,0.33919935207282403,0.33919935207282403,1.0,0.4052794168655416,39,0,Segment_1
Uttar Pradesh,Unnao,324185,656492,980677,10,980677,0.33906413669824803,0.33906413669824803,1.0,0.40515772302842323,40,0,Segment_1
Bihar,Purnia,816498,242665,1059163,8,1059163,0.36620611595392716,0.36620611595392716,0.75,0.4045855043585344,41,0,Segment_1
Andhra Pradesh,Guntur,95927,882347,978274,10,978274,0.3382331327465701,0.3382331327465701,1.0,0.4044098194719131,42,0,Segment_1
Andhra Pradesh,Visakhapatanam,648743,318846,967589,10,967589,0.33453805275336196,0.33453805275336196,1.0,0.40108424747802573,43,0,Segment_1
Rajasthan,Bharatpur,205401,760323,965724,10,965724,0.3338930996239906,0.3338930996239906,1.0,0.4005037896615915,44,0,Segment_1
Gujarat,KACHCHH,574837,466341,1041178,8,1041178,0.3599865545428043,0.3599865545428043,0.75,0.3989878990885239,45,0,Segment_1
Uttar Pradesh,Bijnor,378290,622405,1000695,9,1000695,0.34598674889329156,0.34598674889329156,0.875,0.3988880740039624,46,0,Segment_1
Andhra Pradesh,Chittoor,950026,86680,1036706,8,1036706,0.3584400503098023,0.3584400503098023,0.75,0.3975960452788221,47,0,Segment_1
West Bengal,Dinajpur Uttar,1091590,12384,1103974,6,1103974,0.3817026278468283,0.3817026278468283,0.5,0.39353236506214545,48,0,Segment_1
Uttar Pradesh,Bareilly,234979,707609,942588,10,942588,0.3258922226260624,0.3258922226260624,1.0,0.3933030003634561,49,0,Segment_1
Andhra Pradesh,East Godavari,396021,585246,981267,9,981267,0.3392681701279151,0.3392681701279151,0.875,0.39284135311512364,50,0,Segment_1
Uttar Pradesh,Azamgarh,460458,477563,938021,10,938021,0.32431286555269023,0.32431286555269023,1.0,0.39188157899742126,51,0,Segment_1
Bihar,Supaul,640781,326333,967114,9,967114,0.33437378855151134,0.33437378855151134,0.875,0.38843640969636023,52,0,Segment_1
Bihar,Araria,746965,214461,961426,9,961426,0.33240676796177177,0.33240676796177177,0.875,0.3866660911655946,53,0,Segment_1
Rajasthan,Ajmer,384657,520779,905436,10,905436,0.3130443413057379,0.3130443413057379,1.0,0.38173990717516415,54,0,Segment_1
Madhya Pradesh,DHAR,663537,279509,943046,9,943046,0.32605060789858364,0.32605060789858364,0.875,0.3809455471087253,55,0,Segment_1
Uttar Pradesh,Sambhal,174913,710993,885906,10,885906,0.3062904889643851,0.3062904889643851,1.0,0.37566144006794655,56,0,Segment_1
Madhya Pradesh,REWA,662769,261655,924424,9,924424,0.3196107595472948,0.3196107595472948,0.875,0.3751496835925653,57,0,Segment_1
Andhra Pradesh,Prakasam,68309,926651,994960,7,994960,0.34400347479305304,0.34400347479305304,0.625,0.37210312731374773,58,0,Segment_1
West Bengal,Purulia,915274,77650,992924,7,992924,0.34329938655101544,0.34329938655101544,0.625,0.37146944789591385,59,0,Segment_1
Rajasthan,Sikar,383541,488798,872339,10,872339,0.30159875754015913,0.30159875754015913,1.0,0.37143888178614326,60,0,Segment_1
Andhra Pradesh,Spsr Nellore,107858,745829,853687,10,853687,0.2951485346077008,0.2951485346077008,1.0,0.36563368114693073,61,0,Segment_1
Maharashtra,Kolhapur,283637,568884,852521,10,852521,0.29474530921957903,0.29474530921957903,1.0,0.3652707782976211,62,0,Segment_1
Rajasthan,Chittorgarh,379026,473245,852271,10,852271,0.2946588543764998,0.2946588543764998,1.0,0.3651929689388498,63,0,Segment_1
Uttar Pradesh,Ghazipur,386272,505965,892237,9,892237,0.3084798714105246,0.3084798714105246,0.875,0.36513188426947213,64,0,Segment_1
Rajasthan,Hanumangarh,544264,302203,846467,10,846467,0.2926517187395714,0.2926517187395714,1.0,0.3633865468656142,65,0,Segment_1
Maharashtra,Jalgaon,577302,269105,846407,10,846407,0.29263096957723234,0.29263096957723234,1.0,0.3633678726195091,66,0,Segment_1
Bihar,Bhagalpur,636551,249668,886219,9,886219,0.3063987304279204,0.3063987304279204,0.875,0.36325885738512836,67,0,Segment_1
